id,created_at,text
1020533764298981377,2018-07-21 04:59:44,“Ben Shapiro epically owns SJWs after getting onto his step stool”
1020529456509669376,2018-07-21 04:42:37,"Was fun charging JO crystals with you bro, let’s do it again sometime 😄👌✨ https://t.co/2DIJlRfZMF"
1020469176245235712,2018-07-21 00:43:05,https://t.co/ioIYowIQqJ
1020449857650155520,2018-07-20 23:26:19,"“Who are you” ash asks, as 2 people and a meowth in terrible disguises attempt to steal his pikachu for the 18471917th time"
1020409979340111872,2018-07-20 20:47:52,https://t.co/7UocAU45F9
1020408620821856256,2018-07-20 20:42:28,@callmeshitto Meet me in the locker room brah I brought my jo crystal
1020407039153979392,2018-07-20 20:36:11,https://t.co/2AnD6A9yGM
1020405813666504704,2018-07-20 20:31:18,Dudes put 6 plates on the leg press machine and swear their stick figure lookin ass be doin something
1020398460485349378,2018-07-20 20:02:05,@umru_ Thanks for keeping it secure https://t.co/sEFRnPB4iQ
1020397761282244608,2018-07-20 19:59:19,Please say Sike.... https://t.co/52L9z003Ct
1020392902248153094,2018-07-20 19:40:00,Hey guys I’ll be right back can you watch my chocolate milk and make sure nothing bad happens? Thanks. https://t.co/XTzBiapbPh
1020392524769193984,2018-07-20 19:38:30,I saw those ugly as fuck ass air monarch dad shoe 100lb brick balenciaga shows at Nordstrom the other day you would… https://t.co/8lv6GBtvTk
1020387871583170560,2018-07-20 19:20:01,Y’all got beef? https://t.co/j1TmlpWCLq
1020337830885654528,2018-07-20 16:01:10,RT @xMangojuice: 'No Ghost Follows' https://t.co/PsaajTN6Mz
1020177153860632576,2018-07-20 05:22:42,@soylentbeans @yeetztweetz Bro it fr does
1020151826853740544,2018-07-20 03:42:03,"Photographer: alright dimitri you ready for the big billboard photo?

Dimitri, pushing a huge fart out of his ass:… https://t.co/d31wZObe2m"
1020085318492479489,2018-07-19 23:17:46,"RT @xMangojuice: Virgin
    ____😀____
 /  /--/      \-- \  \
👇  (    .    )  👇
       l  🍤   l
       l  l     l  l
      👞     👞

vs Chad…"
1020031937765752832,2018-07-19 19:45:39,"@MyFavsTrash ,,,,,,this ain’t it"
1019841820098945024,2018-07-19 07:10:12,https://t.co/ltWRBSpWe0
1019831634290327557,2018-07-19 06:29:43,@Iazyboy The dude that played Jerry Russo had a bunch of nudes leaked today he gettin aired out
1019824904542171136,2018-07-19 06:02:59,RT @tranxfairy: Im sorry yall but #jerryrusso https://t.co/ecB8IBtt4k
1019725905155911680,2018-07-18 23:29:36,Just told my gf to log off so I could slide in your DMs unnoticed https://t.co/5bIjWot2jP
1019675095684472832,2018-07-18 20:07:42,RT @POTTOMLESSBlT: https://t.co/yN9dO4UNTv
1019660222191710214,2018-07-18 19:08:35,S/O to 2015 XXL freshman @DeVito his track slaps dawg.... y’all not ready for him to drop it
1019648664946397184,2018-07-18 18:22:40,"These are the fruits of my labor, I’ve saved every drop of cum in these jugs for the last 8 years https://t.co/VbWAsetbgI"
1019641732961480705,2018-07-18 17:55:07,"Men need to learn to give themselves top. Feed a man he’ll eat for a day, teach a man to fish..... he’ll have free top for life"
1019430396541325313,2018-07-18 03:55:21,HES BACK BABY LEGGO!!! https://t.co/Y6KTyLL2Le
1019430244342644736,2018-07-18 03:54:45,"RT @KokonutRum: rt if you’re 

-horny
-horny
-horny
-horny
-horny
-horny
-horny
     or
-horny

no one will ever know which one"
1019429705181589504,2018-07-18 03:52:36,It.............is.............to...........hot.............to..............fuck.............please..............sen… https://t.co/mXRJLtSFKe
1019428798675050496,2018-07-18 03:49:00,@Chainbody Truly the maddest lad
1019307778811105280,2018-07-17 19:48:06,My man caught a mere whiff of some coochie n dipped out on twitter https://t.co/ClMq77dODG
1019296167341928448,2018-07-17 19:01:58,@bI00dhail Is that Phillip defranco
1019077262136578048,2018-07-17 04:32:07,https://t.co/qixpFdU7z0
1019071624476151808,2018-07-17 04:09:43,https://t.co/P7VNgRNJKh
1019066741840703488,2018-07-17 03:50:19,When you hear someone say “Wubba lubba dub dub” in public https://t.co/w6zI9FVGOB
1019012738008223744,2018-07-17 00:15:43,@Iazyboy “Damn why this go boom 🤪😳”
1018970621454118912,2018-07-16 21:28:22,@krumpbattle  https://t.co/OyYeQfQqQs
1018962250965528576,2018-07-16 20:55:06,@rrraygun 799 now ☝️😌
1018962148507058176,2018-07-16 20:54:42,“Exsqueeze me” headass https://t.co/R0tptBxkij
1018959587012014080,2018-07-16 20:44:31,@ilovesmokingmid @yeetztweetz Just pay ur bill on time and don’t be a dumbass and you’ll be fine
1018933426466873346,2018-07-16 19:00:34,When the armor ugly as hell but the stats are best in slot https://t.co/i8fCYFx3bU
