id,created_at,text
1020751907478999041,2018-07-21 19:26:34,"1 year ago today, Tyler The Creator released “Flower Boy” featuring the tracks “Boredom”, “I Ain’t Got Time!”, and… https://t.co/I1UWwmOEt8"
1020748313124114432,2018-07-21 19:12:17,FACTS! 😩😂 https://t.co/FBq23P3rO5
1020744827510587393,2018-07-21 18:58:26,Lil TerRio out here doin the #LevelUpChallenge! 🕺😂👍 (IG/LilTerRio) https://t.co/l1nYJeQuYm
1020737560753188864,2018-07-21 18:29:33,RT @QuavoStuntin: H E  H O M E
1020726945833766912,2018-07-21 17:47:22,Real talk! 💯 https://t.co/1YQ5mUqkOn
1020718600083197952,2018-07-21 17:14:12,Gotta do something legendary 😂 https://t.co/lcqBp431Vz
1020709346756448256,2018-07-21 16:37:26,Y’all be doing this?! 😂🤷‍♂️ https://t.co/V7hLLtA0FQ
1020699032363184128,2018-07-21 15:56:27,Bruh...😳😩😂 @AdamPadilla @TheRock @KevinHart4Real https://t.co/sEHyTgAqJr
1020668725098438656,2018-07-21 13:56:01,"20 years ago today, Cam’ron released “Confessions Of Fire” featuring the tracks “357”, “Feels Good”, and “Horse &amp; C… https://t.co/M7Db49fzrv"
1020659344545845249,2018-07-21 13:18:45,Ciara hittin the #LevelUpChallenge! 💃😂👍 @Ciara https://t.co/TuN9t6YHIr
1020654572476555265,2018-07-21 12:59:47,“The right mindset &amp; attitude will get you far...” 💯 @QWorldstar https://t.co/DLPeoxSjhZ
1020514387059200001,2018-07-21 03:42:44,Are y’all looking forward to Tekashi 69’s new track FEFE?! 👀🤔 @6ix9ine https://t.co/quYEoXml5i
1020490002697015297,2018-07-21 02:05:51,Real talk 😂💯 https://t.co/Zy2QjAjBcY
1020478386647584768,2018-07-21 01:19:41,Deadass though.. 😂💯 https://t.co/vP8WwswYK0
1020459569645006848,2018-07-21 00:04:55,Big facts 😩😂 https://t.co/K079z19bJg
1020448350011879425,2018-07-20 23:20:20,The #WorldstarWeekly playlist has been updated! 🔥 https://t.co/14Qk4K8ABn https://t.co/8O1LjQe1gF
1020433672695173121,2018-07-20 22:22:00,He dropkicked the TV 😳 @Thouxanbanfauni https://t.co/LFM4QunZTH
1020426301574995968,2018-07-20 21:52:43,This ever happen to y’all?! 😂💯 https://t.co/pD1CgY3l6S
1020421069033926656,2018-07-20 21:31:56,Salice Rose attempts #LaChonaChallenge...😳😩😂 @Salice_Roseee https://t.co/nVygOicDDR
1020401433710157827,2018-07-20 20:13:54,It really be like this 😅💯 https://t.co/8A7fQGTsS2
1020381354893045760,2018-07-20 18:54:07,Wtf did I just watch😳😂💀@bmrtwins1 https://t.co/lKwv71wNmO
1020378927053893633,2018-07-20 18:44:28,A lot has changed.. 😳 https://t.co/HaPyws5edz
1020362983795580928,2018-07-20 17:41:07,Facts 😩😂 #Fortnite https://t.co/NCYGpEfoVF
1020342777538899968,2018-07-20 16:20:49,Post Malone is ready to be the flower boy at Justin Bieber’s wedding 🤣 @TMZ @PostMalone @justinbieber https://t.co/rD4CnMG0Tk
1020336229194371072,2018-07-20 15:54:48,Facts 💯 @TayZonday https://t.co/Rh8bPsSwzq
1020297775219716096,2018-07-20 13:22:00,"25 years ago today, Cypress Hill released “Black Sunday” featuring the tracks “I Wanna Get High”, “I Ain’t Goin Out… https://t.co/p4590glOQy"
1020292912528183297,2018-07-20 13:02:41,“You don’t need to show off anything to prove a point...just keep hustlin and stayin low key...” 💯 @QWorldstar https://t.co/uYyiRowc4J
1020150524379893760,2018-07-20 03:36:53,Facts though.. 😂🤷‍♂️ https://t.co/sKTOGWEhGX
1020147831921827840,2018-07-20 03:26:11,He’s devastated💔😩😂 https://t.co/neHLM5RrW9
1020133332095590401,2018-07-20 02:28:34,Kelv &amp; Mason Ramsey out here feeding some crazy animals 😳😂 @COLDGAMEKELV @masonramsey https://t.co/bE6c4c3GPL
1020115784830513152,2018-07-20 01:18:50,This ever happen to y’all?! 😂😭 https://t.co/YYDxu6CH4M
1020085755375259650,2018-07-19 23:19:31,Savage mode😂💯 https://t.co/SgxU722r6W
1020062117808914432,2018-07-19 21:45:35,It’s on you now😂💯 https://t.co/ekknwe2g7w
1020050673629573129,2018-07-19 21:00:06,Gary Vee speaking facts 💯 @garyvee https://t.co/Vh48P3oje3
1020033500521648128,2018-07-19 19:51:52,Hold up.. what do y’all think? 🤔 https://t.co/iWTqHBLrJm
1020022704110522368,2018-07-19 19:08:58,When the person in the passenger seat tries to tell you how to drive...🚗😳😩 @Chicklet_HF @MaleniC14 https://t.co/z3b9nUtAcZ
1020010687354097667,2018-07-19 18:21:13,This is really how it be 😂😭 https://t.co/c5pF3NVpjf
1019990546453008386,2018-07-19 17:01:11,TBT 🤣 https://t.co/FusrwbCrtH
1019987277374787586,2018-07-19 16:48:12,Homie at this hotel trippin on Darius! 😳😩 (IG/Darius_DK) https://t.co/f2s3neCR7W
1019963170167971841,2018-07-19 15:12:24,Facts...😩🍽🏠 https://t.co/AyKoevlhuY
1019949483847831553,2018-07-19 14:18:01,She was not havin it with Daniel Jean...😳😩😂 (IG/DanielJean56 DannyDuces_) https://t.co/Swl32DiHVi
1019938336373428225,2018-07-19 13:33:43,“I’m never gonna do the challenge...”-2Chainz 🕺😩😂 @2Chainz @TheShiggster #InMyFeelingsChallenge https://t.co/xwIbKrRv1P
1019932089616134146,2018-07-19 13:08:54,“Plain &amp; Simple...Energy Doesn’t Lie!” 💯 @QWorldstar #PositiveVibes #WSHH https://t.co/Mt4blZaDJq
1019792255475961856,2018-07-19 03:53:15,Tekashi 69 rolling with heavy security in LA 👀 @6ix9ine https://t.co/IHjKqPug1n
1019786813047824384,2018-07-19 03:31:37,This would be savage 😂💀 @TheEllenShow https://t.co/JJ6mQDzQ58
1019778084566781954,2018-07-19 02:56:56,Facts!😂💯 https://t.co/k6k9w6FY5Q
1019770258004078593,2018-07-19 02:25:50,Welcome to America 🇺🇸😂 https://t.co/B5nYHAS9wo
1019750758080831488,2018-07-19 01:08:21,They ain’t lying tho...🤷‍♂️💯 https://t.co/8u61CKE9u2
1019745584335523842,2018-07-19 00:47:47,“Listen to this pain that I invision...” 🎶😩🙏 @Gunjin_ https://t.co/U9sp5wcZud
1019743682558353409,2018-07-19 00:40:14,Boonk is out here living his best life.. do y’all think they will ever un-suspend his page? 🤔 https://t.co/UFZo4p45pd
1019738441968508928,2018-07-19 00:19:25,It happens.. 🤷‍♂️😂 https://t.co/1Iz8y5wCp7
1019734642080075779,2018-07-19 00:04:19,"RT @SportsCenter: Breaking: Manny Machado has been traded to the Dodgers for prospects, according to multiple reports. https://t.co/QjBoiFT…"
1019695651389628416,2018-07-18 21:29:22,Tekashi 69 got some new ice! 😳👀 @6ix9ine https://t.co/9OSa95AbaE
1019688486276882433,2018-07-18 21:00:54,Facts! 🤣🙌 https://t.co/euZOJ6B1NV
1019672359643557889,2018-07-18 19:56:49,Gotta teach em young...😩💯 https://t.co/4xVURiC8UG
1019646722488913921,2018-07-18 18:14:57,😂💯 https://t.co/An0cvLHa7y
1019623919391780869,2018-07-18 16:44:20,How they get a dog in there?! 😂🤷‍♂️ https://t.co/RDKMOaBIvt
1019617246501658626,2018-07-18 16:17:49,This is really how it be 🤣💯 https://t.co/CjUU6jPc4E
1019610434276601856,2018-07-18 15:50:45,Every Rugrats fan when they heard the show was coming back...😩😂💯 https://t.co/ZEd12wjS3M
1019599991491489792,2018-07-18 15:09:15,Eleven and Will hit the #InMyFeelingsChallenge! 💃🕺😂 (IG/ MillieBobbyBrown &amp; NoahSchnapp) https://t.co/3jh5EQCYTk
1019572496436166657,2018-07-18 13:20:00,"RT @SportsCenter: UPDATE: The Raptors have agreed to a deal to acquire Kawhi Leonard in a larger trade package that includes DeMar DeRozan,…"
1019569213487403009,2018-07-18 13:06:57,“That healthy lifestyle...” 😏 @QWorldstar https://t.co/FclfPzwzu0
1019429088992399360,2018-07-18 03:50:09,What do y’all think? 🤔 https://t.co/bqBRMrXeGK
1019422904604295168,2018-07-18 03:25:35,Facts 😂💯 https://t.co/uI2IFZqGXE
1019419109350666240,2018-07-18 03:10:30,Supreme Patty surprised his mom with a new car! 👏💯 @supremepatty https://t.co/7Qtesd0kIy
1019415624508899328,2018-07-18 02:56:39,Did Kevin Gates get a tattoo of NBA Young Boy? 🤔 @iamkevingates @GGYOUNGBOY https://t.co/daUWM6PXRp
1019386920688906241,2018-07-18 01:02:35,"RT @Logic301: WE GOT MUSIC!!!!!! 80 unreleased songs, 7 projects. Not for those who hate but for those who love us!
We making music everyda…"
1019368618197487616,2018-07-17 23:49:52,Tekashi 69 races a 14 year old girl to prove his speed 🏃‍♂️😂 @6ix9ine https://t.co/WjoQVW7BUz
