id,created_at,text
1020739465151688705,2018-07-21 18:37:07,Ridiculous that there are really mfs out here named Sawyer
1020537765992321024,2018-07-21 05:15:38,"@YahBoyCourage .    zZz   💤🌟. *
.  [ (-.-) ]        🌙
—o-o—*
| 💗💗  |.  ✨*
| 💗💗  |*.
Sweet Dreams..''"
1020533849682595841,2018-07-21 05:00:05,@ItsJevf Uno with the boys
1020530259911946240,2018-07-21 04:45:49,RT @Sethrogen: @xMangojuice It’s spelled “huehuehuehueh”.
1020526546396897280,2018-07-21 04:31:03,Gucci mane will perform at my wedding
1020386975185100801,2018-07-20 19:16:27,I held a girl’s hand today and it was breathtakingly miraculous
1020166724052799488,2018-07-20 04:41:15,I’m smokin BIG gas in a tent rn. who up and wanna sing me a lullaby??
1020114871181103104,2018-07-20 01:15:12,White people b like “bro did u just double dip”
1020093279667474432,2018-07-19 23:49:24,"Will somebody please..
⠀            😤
　＿ノ ヽ ノ＼＿
`/　`/ ⌒Ｙ⌒ Ｙ　ヽ
( 　(三ヽ人　 /　　 |
|　ﾉ⌒＼ ￣￣ヽ　 ノ
ヽ＿＿＿＞､＿＿_／
　　 ｜( 王 ﾉ〈… https://t.co/ahGcAsdTWI"
1020051309175738368,2018-07-19 21:02:38,"Keke do u wanna come over n play uno wit the boys, we got mikes hard n half a 4loko"
1019978737771864064,2018-07-19 16:14:16,Can I get a Free bobby in the chat plese
1019807137491509249,2018-07-19 04:52:23,RT @hondadeal4vets: Fact !! Let the world know fuck u Sea World and this is a doink chat https://t.co/D5Hnj0f0Lj
1019804114870525952,2018-07-19 04:40:22,Diamonds on my neck n wrist but my wife still left me
1019741297509388290,2018-07-19 00:30:45,@MattRyanGilbert So do I
1019740985285332993,2018-07-19 00:29:31,@winelor32 Goodjob
1019720702667251713,2018-07-18 23:08:55,So much ice on my neck I'm worried about my children surviving the winter
1019686413435047942,2018-07-18 20:52:40,This mf look like he straight outta borderlands https://t.co/NNrF4PvHRN
1019672498667913222,2018-07-18 19:57:22,Jus might Fuck around n hold a females hand
1019466111178493953,2018-07-18 06:17:16,"Sweet dreams 
💤💤💤
     😴
🤟👕🤙
     👖🍆
   👟👟
💤💤💤"
1019423629648556032,2018-07-18 03:28:27,@The_MichaelT Yes
1019422871653945344,2018-07-18 03:25:27,I’m High off the Goofy juice as we speak fellas
1019368867892727808,2018-07-17 23:50:51,I am currently in need of Top
1019302062448930816,2018-07-17 19:25:24,woke up to my This Ain’t it Chief levels at maximum charge let's eat today's ass
1019093056111501314,2018-07-17 05:34:53,@NOTVIKING  https://t.co/kvlOQ40gkn
1019074078949494784,2018-07-17 04:19:28,"Sold my gucci belt to buy a turtle.

My pants? Saggin 

My turtle? boss as fuck"
1019031466733457408,2018-07-17 01:30:09,When u drunk as hell waitin for ur uber https://t.co/wVpbkjEHNN
1019030696302694401,2018-07-17 01:27:05,@soylentbeans The best life
1019026946821361664,2018-07-17 01:12:11,Bitches who read books got the best pussy
1018971085092597760,2018-07-16 21:30:12,"RT @2003_Accord: My style? Drippin 💧
My wip? Foreign (Honda accord)🏎
My love and compassion for my homies? Tight as fuck 💕"
1018970054031966208,2018-07-16 21:26:07,Bitches On My Dick Cuz I’m A Certified Honda Accord Owner
1018941352372064257,2018-07-16 19:32:04,@Lucky_Lockhart 12 rules to life by Jordan Peterson
1018940986918166529,2018-07-16 19:30:36,Sex is cool an all but do you ever read books?
1018917402602627073,2018-07-16 17:56:54,"@ItsJevf I always stay MFing ..
     😋💧
🤟👔🤙
     👖
  👟👟
HYDRATED💦"
1018915322894733313,2018-07-16 17:48:38,"woke up✅
hydrated as fuck✅
alright back to sleep 😴"
1018713127779741696,2018-07-16 04:25:11,i met my girlfriend on roblox so what
1018662892332355585,2018-07-16 01:05:34,RT @WoodySee: isn't the clitoris that big red dog from that show when we were kids?
1018618254321946625,2018-07-15 22:08:11,@ItsJevf Pls my wife left I got child support warrants on my back g
1018618168451981312,2018-07-15 22:07:51,@jag_twigg Pc
1018614524159635457,2018-07-15 21:53:22,@Sadieisonfire It’s “Like” now chief
1018610215107944454,2018-07-15 21:36:14,@JosephACostello I’m 19 gettin caught jerkin off in the Wendy’s bathroom and sellin 8th graders 30 a g
1018608505656397826,2018-07-15 21:29:27,alright its yall monthly rent Pay $10 to https://t.co/iZGK2O3GgO or imma evict u!! (Guys i actually just want the f… https://t.co/5iHZISJ9BY
1018532756127670272,2018-07-15 16:28:27,"woke up ✅ 

Russ still trash  ✅

hit up Jcpenny's ✅

kissed my 2003 Honda Accord ✅

alright back to sleep 😴"
1018246657186631681,2018-07-14 21:31:35,is esskettit in the dictionary yet?
1018194463846477826,2018-07-14 18:04:11,@ItsJevf ur New avi is 13/10 chief
1018185522240540673,2018-07-14 17:28:40,the boonk gang guy prolly in a sewer somewhere
1017967754295603200,2018-07-14 03:03:20,@YaBoiSecret what movie
1017967486564741121,2018-07-14 03:02:16,fuckd around n got so high i forgot to tweet
1017837687045345280,2018-07-13 18:26:29,RT @DHGOTWAVES: “This ain’t it” Twitter got to be the worst realm in existence
1017829760087543810,2018-07-13 17:54:59,Ben shapiro prolly gets a lot of goth girl coochie
1017580916024193028,2018-07-13 01:26:10,https://t.co/jVaO8KR6Kp
1017557704066371585,2018-07-12 23:53:56,RT @TonyDiaz989: top two twitter accounts https://t.co/lXstJJtbWh
1017539127724605440,2018-07-12 22:40:07,@hondadeal4vets You need grills
1017470932187799552,2018-07-12 18:09:08,hit the juul so hard had me lying butt naked on my bedroom floor
1017272536151797760,2018-07-12 05:00:47,@YahBoyCourage fr aye my boyfriend coming over tonight for som mikes hard and uno. You invited
1017272063021678592,2018-07-12 04:58:54,@iamN_I_T_O this shit gives me the spins lmao
1017271939562340352,2018-07-12 04:58:25,@YahBoyCourage fr im fed up wit this shit
1017266384512962560,2018-07-12 04:36:20,@taderjoes on some g shit u a puss
1017266122985525248,2018-07-12 04:35:18,sometimes a mf gotta sit down to pee.. no shame
1017167371113549825,2018-07-11 22:02:53,@boondock1488 Pepsi products only
1017167049083236353,2018-07-11 22:01:37,im finna go to prison y'all need anything?
1017145247648841728,2018-07-11 20:34:59,I need to smoke big GAS with Charlie sheen before I die
1017109448635150336,2018-07-11 18:12:44,RT @WoodySee: https://t.co/kM7C7g8nT1
1016813184219602950,2018-07-10 22:35:29,im awake and hydrated as ever
1016813072839794689,2018-07-10 22:35:02,RT @BillRatchet: i think i am the highest man to ever enter a home depot
1016783063672598528,2018-07-10 20:35:47,@NOTVIKING chill out chief
1016754660835815425,2018-07-10 18:42:56,@realDonaldTrump I LOVE TRUMP
1016727083656077317,2018-07-10 16:53:21,"woke up ✅

feelin fly like a G6 ✅

let's get it 🤘🏼😤🤘🏼"
1016523930557968384,2018-07-10 03:26:05,who up n wanna give me a stummy rub 🤙😌
1016506111724261376,2018-07-10 02:15:17,"RT @Flavorrr7: After almost a year   @WoodySee 
👋 
    \ 😳
        || \_
    _/¯  ¯\_ https://t.co/6NuZuShu9r"
1016505711365419008,2018-07-10 02:13:42,follow @2003_Accord 🤟😜
1016446994972278784,2018-07-09 22:20:22,https://t.co/sQJh0cwvCE
1016393514672967680,2018-07-09 18:47:52,RT @DeVito: https://t.co/IRcDlfsLAL
1016392559063650306,2018-07-09 18:44:04,"woke up✅

zero good morning texts✅

drink some tea because my stepdad Rob won't let me drink coffee✅

worked out on… https://t.co/F8YwLbc3q2"
1016048594128908290,2018-07-08 19:57:16,@hondadeal4vets clown ass mf
1016046805723668480,2018-07-08 19:50:10,https://t.co/kM7C7g8nT1
1016021846221819904,2018-07-08 18:10:59,someone hire me please I got child support warrants on my back bro
1015966752814125057,2018-07-08 14:32:04,hey siri why my dic on shrimp mode?
1015599976330743808,2018-07-07 14:14:37,"My hat? Monster 
My shoes? Osiris 
My shorts? cargo"
1015342771799027712,2018-07-06 21:12:35,white people just love listening to Sweet caroline in their 2006 Toyota camery
1015309930302238720,2018-07-06 19:02:05,"wen Drake said ""cat's in the cradle and the silver spoon. Little boy blue and the man in the moon"" I fr felt that shit"
1015287047282622464,2018-07-06 17:31:09,@Idubbbz  https://t.co/J7yVa47gyj
1015281538144063488,2018-07-06 17:09:16,@raulstertbh she a beaut hmu if u got any bald Eagles
1015263827447992322,2018-07-06 15:58:53,anybody got the plug for exotic birds?
