id,created_at,text
1020786963870253063,2018-07-21 21:45:52,@mtvcribsseason1 he blocked me
1020785602327871488,2018-07-21 21:40:27,@NICEGUYCOLLIN why
1020784608126873600,2018-07-21 21:36:30,"RT @98feetofsmoke: rt if
- your parents are divorced 
-you’re depressed 
-you see a therapist 4 days a week
-your dog died
-don’t know what…"
1020782818253770752,2018-07-21 21:29:23,RT @droopyballsack: pee after sex or u will get an RKO
1020776125797158912,2018-07-21 21:02:48,@ch2ney how do u no what that tastes like
1020775307555606529,2018-07-21 20:59:33,RT @hornystonerdad: @NICEGUYCOLLIN ligma my balls
1020775119529160705,2018-07-21 20:58:48,@ch2ney what does urs taste like
1020774875177381888,2018-07-21 20:57:49,@svgei @mtvcribsseason1 poundis pussy wit apaira dees nuts
1020774195377188865,2018-07-21 20:55:07,@jack37_ i m doing it ironically like deez buts obviously arr u fucking brain dead
1020774007262666752,2018-07-21 20:54:23,@NICEGUYCOLLIN ligma my balls
1020773770976538630,2018-07-21 20:53:26,@mtvcribsseason1 i heard he also has poundis
1020773589992304642,2018-07-21 20:52:43,@lm_SJB i saw the video lol
1020773546077958144,2018-07-21 20:52:33,@knucklehead98 idk thats what i was wondering
1020773251189039105,2018-07-21 20:51:22,does ninja actually have ligma
1020772627290390528,2018-07-21 20:48:54,RT @mtvcribsseason1: https://t.co/HyhLcUOTg5
1020772375657369601,2018-07-21 20:47:54,@mtvcribsseason1 lol check dms
1020771791504052224,2018-07-21 20:45:34,@icexchia @mtvcribsseason1 @bbenance @memetiddies we?
1020767550215532545,2018-07-21 20:28:43,in the hospital from an overdose i watched too many how to get high without drugs videos
1020751122041122818,2018-07-21 19:23:26,@spliced_ whats that
1020744319500791810,2018-07-21 18:56:24,@bloomelites_ then if u join another team put that teams logo onto of the bloom one
1020743261802164227,2018-07-21 18:52:12,@bloomelites_ put the bloom logo over this
1020742015708000264,2018-07-21 18:47:15,@pr6ston @prest6n @sacreddrx shut the fuck up
1020739206929420290,2018-07-21 18:36:06,@basedsavage3600 that's literally a blind date
1020739121965404161,2018-07-21 18:35:45,how many followers should i get before i tell my mom
1020736345147363328,2018-07-21 18:24:43,@pr6ston @prest6n nice cod team
1020733763796467716,2018-07-21 18:14:28,RT @cumcontroller: i think it's crazy that college girls who drink with strange men almost every night get taken advantage of that's so wei…
1020733133795332096,2018-07-21 18:11:58,RT @Chainbody: stop tickling me when ur losing the 1v1 man thats cheating
1020733008897355776,2018-07-21 18:11:28,@sasukefan48 didnt they chanfe their name
1020732240509263872,2018-07-21 18:08:25,@svgei did i win
1020732002675421186,2018-07-21 18:07:28,@pr6ston @prest6n whos the real preston
1020731777562959872,2018-07-21 18:06:34,@pr6ston ? @prest6n
1020731354550587392,2018-07-21 18:04:53,@knucklehead98 that says a lot for u fatass
1020731038765641728,2018-07-21 18:03:38,@nothappyman im a girl that picture is me please give it to me
1020730263926648833,2018-07-21 18:00:33,@yuppinq imma fuck that pussy in al qaeda ways
1020730098650054662,2018-07-21 17:59:54,@jo42069 fuck u bitch u dont know shit about art
1020730037325172737,2018-07-21 17:59:39,@nothappyman no u cant sorry
1020729892277817344,2018-07-21 17:59:05,hey bitch u like al qaeda
1020729527708856326,2018-07-21 17:57:38,@LynxYetAgain no its a person
1020729274356117504,2018-07-21 17:56:37,"ops on my newest piece?

be honest i can take criticism!✨❤️ https://t.co/9w5DwF7uML"
1020728922709942274,2018-07-21 17:55:14,@grove071 what sabbath tt is this
1020728683844206594,2018-07-21 17:54:17,@FuxkAss he got ur ass tho dont even lie
1020726608271892480,2018-07-21 17:46:02,@sloboah @yuppinq @ilovemywife44 smh sellout
1020726105060323330,2018-07-21 17:44:02,@sloboah @ilovemywife44 lol change the pass
1020709359045824514,2018-07-21 16:37:29,RT @LynxYetAgain: Actually crazy how easy it is to kidnap small kids
1020708654444576768,2018-07-21 16:34:41,RT @VersaceCroccs: how many points on weight watchers is a four loko
1020707527632343040,2018-07-21 16:30:13,RT @memetiddies: https://t.co/5iP1wa41WW
1020707509785460736,2018-07-21 16:30:08,@bbenance @memetiddies not happy
1020706239125368832,2018-07-21 16:25:05,@jack37_ @cosmofghjkl theres water in it
1020687331756560384,2018-07-21 15:09:58,@GOTHMONEYRCRDS no but still follow me
1020686771745705985,2018-07-21 15:07:44,@cumcontroller yeah oh yeah mother fucker bitch fuck u
1020686506275627008,2018-07-21 15:06:41,@cumcontroller i wouldnt
1020682981055377408,2018-07-21 14:52:40,@ripbeIIa i want her to cry while i cum down her throat
1020682484072288261,2018-07-21 14:50:42,@ripbeIIa i wanna cum in devin but not get pregnant fuck that i just wanna cum in her over and over again with my dick
1020682217809424386,2018-07-21 14:49:38,RT @fuckshyheim: anyone noticed the dog in family guy talks lmao
1020682064008445952,2018-07-21 14:49:02,@ripbeIIa why
1020680456658915328,2018-07-21 14:42:38,RT @CHARISMARYAN: yung lean said optimus prime do her from behind and you guys are still talking about two pacs or whatever
1020677990349500416,2018-07-21 14:32:50,obama just won lets go the first black president
1020677382078894080,2018-07-21 14:30:25,@yuvnx @rhaastNA im a cuck
1020677308368203777,2018-07-21 14:30:08,@rhaastNA @yuvnx i sick and tored of ur shenanigans
1020676954591318016,2018-07-21 14:28:43,@yuvnx @rhaastNA i dont
1020676780632535040,2018-07-21 14:28:02,fuck did i miss the super bowl
1020676638114185222,2018-07-21 14:27:28,@yuvnx @rhaastNA how would u know
1020676287961190408,2018-07-21 14:26:04,holy fuck im such a loser
1020676211536777216,2018-07-21 14:25:46,@rhaastNA thats good
1020676060957085702,2018-07-21 14:25:10,@rhaastNA hows ur gf
1020675942866440192,2018-07-21 14:24:42,@yuppinq what rank r u
1020675873358401543,2018-07-21 14:24:26,@killvalentino women love being treated like shit
1020675688288923648,2018-07-21 14:23:41,@lm_SJB my condolences go out to u and ur family
1020675482134736896,2018-07-21 14:22:52,@ihavenerdneck hope u find her mate
1020675441756172288,2018-07-21 14:22:43,@rhaastNA no u are too sexy i cant allow it
1020675345589178368,2018-07-21 14:22:20,@vipelmao good one
1020675237770420225,2018-07-21 14:21:54,@rhaastNA kyler what up
1020675142106734593,2018-07-21 14:21:31,@lm_SJB feel better
1020675112234864641,2018-07-21 14:21:24,@yuppinq i am doing good how r u
1020675060246503424,2018-07-21 14:21:12,@rhaastNA why did u reply
1020674983624945664,2018-07-21 14:20:53,@lm_SJB thank u its gonna be rough but i hope i can get thru it
1020674908601319424,2018-07-21 14:20:36,@yuppinq how are you jay
1020674730439921664,2018-07-21 14:19:53,@lm_SJB just got diagnosed with ligma i need someone to talk to
1020674624726683653,2018-07-21 14:19:28,@PissNachos ok
1020674572910235649,2018-07-21 14:19:16,@ihavenerdneck ligma balls bum ass nigga
1020674449916530688,2018-07-21 14:18:46,someone reply to this
1020674164129136641,2018-07-21 14:17:38,my friend owns supreme so stop talking shit
1020673806871027715,2018-07-21 14:16:13,RT @mtvcribsseason1: first ever time i got a boner is when my friend input boobs in2 the calculator and showed me
1020673697735237633,2018-07-21 14:15:47,RT @mtvcribsseason1: uk niggas rap about defending their village from fire breathing dragons and going on long horseback journeys to delive…
1020673547579117568,2018-07-21 14:15:11,niggas say they lay pipe but bitches can go to subway and get a sandwich longer then they shit
1020673081373847552,2018-07-21 14:13:20,@mooze1k honestly no
1020672302776823809,2018-07-21 14:10:14,@mooze1k yeah i already am
1020671702269939712,2018-07-21 14:07:51,@bloomelites_ look at his fucking headphones dude
1020671390758985729,2018-07-21 14:06:37,@bloomelites_ of course they look like that
1020492935337598976,2018-07-21 02:17:30,can i use someones netflix account right now pls
1020443923490254849,2018-07-20 23:02:44,holy shit ur such a pussy https://t.co/USMPx0IGdh
1020443630849482752,2018-07-20 23:01:35,@ginaloI my favorite horsehead song is numb
1020442883537743872,2018-07-20 22:58:37,@ginaloI coldhart is so good too whats ur favorite song by them
1020442443861364736,2018-07-20 22:56:52,@ginaloI idk who my favorite artist is i listen to a lot of different ppl whos ur favorite
1020440921811406849,2018-07-20 22:50:49,@ginaloI where did u get it
1020440322604781568,2018-07-20 22:48:26,@ginaloI no also cool shirt
1020414967487528962,2018-07-20 21:07:41,@mtvcribsseason1 lmao a simple yet funny troll. I like it haha.
1020414096208953345,2018-07-20 21:04:13,https://t.co/1TZB4oynYe
1020413761826508801,2018-07-20 21:02:53,just had sex for the first time it was awesome guys i came while putting the condom on
1020413381898104832,2018-07-20 21:01:23,these niggas just did a driveby on a dump truck
1020412273389637634,2018-07-20 20:56:58,@Niftv_ @Contr @blushlake @ghostlydevin
1020412162873937920,2018-07-20 20:56:32,@ooouij like deienda this dick fat ass nigga
1020410617696522241,2018-07-20 20:50:24,@ooouij not even meming i have no idea what that means
1020410542614286343,2018-07-20 20:50:06,RT @mtvcribsseason1: fat niggas b rapping fast like bruh settle down u gonna have a heart attack
1020410400104382464,2018-07-20 20:49:32,@ooouij what
1020410248824225793,2018-07-20 20:48:56,@Contr @Niftv_ @blushlake whats wrong with pineapple on pizza
1020410172383137792,2018-07-20 20:48:38,@ooouij whats deienda
1020409875824807936,2018-07-20 20:47:27,@Niftv_ @Contr @blushlake yall nasty
1020409800700592128,2018-07-20 20:47:09,@mtvcribsseason1 ligma nuts bum ass nigga
1020409364690153472,2018-07-20 20:45:25,whats ligma
1020409303281356800,2018-07-20 20:45:10,@Contr krispy kreme is so bad
1020340428325949442,2018-07-20 16:11:29,@yuppinq its my realest one
1020340271308070913,2018-07-20 16:10:52,@kennycide does he watch hentai
1020340022506139648,2018-07-20 16:09:53,RT @hornystonerdad: they not really ur boys unless you talk about shitting and jerking off with them
1020339753940660224,2018-07-20 16:08:48,all my niggas got depression and social anxiety
1020335193339678720,2018-07-20 15:50:41,@Iildickgirl666 @svgei i thought it was wfunny
1020335130559250433,2018-07-20 15:50:26,@svgei i cant hear u talkjng u r chewing too loud
1020334698260811776,2018-07-20 15:48:43,RT @svgei: @hornystonerdad @hornystonerdad https://t.co/b9hwAH7D0d
1020321655242084353,2018-07-20 14:56:53,@ghostlydevin om hes hot id allow it
1020317608720175105,2018-07-20 14:40:49,@DylanRngdV2 dudes quit cod then the next day tweet why do people still play cod
1020317175788331008,2018-07-20 14:39:05,thank u 4 ur service
1020317003226263552,2018-07-20 14:38:24,quit cod
1020316957516673026,2018-07-20 14:38:13,@Jalyt hope i win
1020316225661022208,2018-07-20 14:35:19,i cuddle my girlfriend and pretend shes an anime body pillow
1020315997356658688,2018-07-20 14:34:24,@yuvnx no newer one windows down
1020315397034307584,2018-07-20 14:32:01,@yuvnx new son with oliver is so good
1020315314024742912,2018-07-20 14:31:42,@mtvcribsseason1 hello i am him please give me information
1020156624734912513,2018-07-20 04:01:07,@jfcloser bitch i smoke that green
1020156397638610945,2018-07-20 04:00:13,@jfcloser i think every kid thinks thier parents are asshole u can dm me if uneed2
1020155732749144064,2018-07-20 03:57:34,@jfcloser whats wrong
1020133794282639360,2018-07-20 02:30:24,RT @mtvcribsseason1: if pastors started giving church services in autotune niggas gonna start going every sunday
1020132517897269248,2018-07-20 02:25:20,@mtvcribsseason1 they be like ou the cricket game is on
1020128121352347653,2018-07-20 02:07:51,@mtvcribsseason1 i do its so gay
1020126746664988673,2018-07-20 02:02:24,@mtvcribsseason1 i hate having short hair
1020126493161213952,2018-07-20 02:01:23,@mtvcribsseason1 my shit used to be so long
1020126407819710467,2018-07-20 02:01:03,@softbeaner u r literally 12 go play soccer wtf
1020125028912857088,2018-07-20 01:55:34,@spliced_ @dkDeMKN hello horny im fad
1020124637378818048,2018-07-20 01:54:01,@dkDeMKN @spliced_ hello im horny
1020123323357966336,2018-07-20 01:48:47,just got my shit shaped up https://t.co/b4RIGz1F6L
1020123155648647168,2018-07-20 01:48:07,@yuppinq rip papa 🍆
1020123002023923715,2018-07-20 01:47:31,@christiankids11 what song
1020122568844619777,2018-07-20 01:45:48,played bones at my granmas funeral
1020122041742184449,2018-07-20 01:43:42,@mtvcribsseason1 he turns into the big bad wolf
1020121751760535552,2018-07-20 01:42:33,@mtvcribsseason1 i know why niggas b fucking with edward
1020121431278014464,2018-07-20 01:41:16,@mtvcribsseason1 stfu bitch twilight marathon is on
1020121250348371968,2018-07-20 01:40:33,RT @mtvcribsseason1: https://t.co/eZViKSf9qW
1020121206769487873,2018-07-20 01:40:23,@mtvcribsseason1 im gonna morph into another realm
1020120973901803527,2018-07-20 01:39:27,ill smoke 2000 blunts for 2000 followers
1020120778673704960,2018-07-20 01:38:41,RT @ihavenerdneck: https://t.co/klJ7gEo7oT
1020120566303526912,2018-07-20 01:37:50,RT @mtvcribsseason1: @droopyballsack do u just get ur homie 2 hold the ipad up 2 the glass for u
1020117710691356679,2018-07-20 01:26:29,RT @mtvcribsseason1: @hornystonerdad bro u gonna get the fuckin electric chair
1020117317253050375,2018-07-20 01:24:55,@mtvcribsseason1 please delete this i dont want my wife to see
1020117221543170048,2018-07-20 01:24:33,RT @droopyballsack: @mtvcribsseason1 @hornystonerdad hell naw whatever that nigga did he guilty
1020080962972147717,2018-07-19 23:00:28,@svgei hey
1020080370287546369,2018-07-19 22:58:07,eating a lollipop i know why some niggas be sucking dick
1020080172886880257,2018-07-19 22:57:20,@freyaiy why
1020078544733581317,2018-07-19 22:50:51,this is my hot sex girlfriend https://t.co/RWqfBw6UPl
1020072757218996224,2018-07-19 22:27:52,RT @mtvcribsseason1: pimp my ride niggas b like yo whole motor nd shit fucked up ur car aint even turn on no mo but we installed multiple i…
1020072701925511169,2018-07-19 22:27:38,RT @7illa: https://t.co/iGre1FCYCI
1020072340108038145,2018-07-19 22:26:12,@ginaloI booo we want javis back
1019942194441084928,2018-07-19 13:49:03,RT @mtvcribsseason1: @Lullvbyz yeah during world war 2 i am a mess right now
1019827564095959041,2018-07-19 06:13:33,RT @alluhmae: do fish have beds No they don’t So tonight when ur ungrateful ass is sleeping soundly The Fish have to swim all night long
1019820406474268674,2018-07-19 05:45:06,https://t.co/TNLbjPseOZ
1019768812189765632,2018-07-19 02:20:05,RT @fuckshyheim: in high school i was a loner i was a retard i had a boner
1019763256272019456,2018-07-19 01:58:01,@svgei @ihavenerdneck i care
1019763242988724224,2018-07-19 01:57:58,RT @svgei: why do people feel the need to wish happy bday to people on their story like literally no one cares just snap them personally
1019763177620467712,2018-07-19 01:57:42,@pr6ston its ok how r you
1019763028110213122,2018-07-19 01:57:06,@Snstr @Contr shut up neither
1019762949228060672,2018-07-19 01:56:48,@ihavenerdneck im not giving u one
1019762861529288705,2018-07-19 01:56:27,@pr6ston really
1019762440647729152,2018-07-19 01:54:46,@ihavenerdneck really
1019762372196667392,2018-07-19 01:54:30,@svgei use xbox connect mic
1019762259143417856,2018-07-19 01:54:03,racism is slowly going away
1019762127115079685,2018-07-19 01:53:32,@cirvex what the fuck ar u talking about
