id,created_at,text
1020781960971423745,2018-07-21 21:25:59,@CORRELLMODEL needed this one
1020781933372977152,2018-07-21 21:25:52,RT @CORRELLMODEL: NE YO - SO SICK (COVER) https://t.co/NXbmoO89JD
1020760135101132800,2018-07-21 19:59:15,RT @pontasan387957: 掃除？終わったよ　笑 https://t.co/B1zG1jU7BL
1020759617863729152,2018-07-21 19:57:12,RT @Mr_Drum: This dude face is hilarious 😂😂😂😂😂😂😂 https://t.co/yvWaSUWJCr
1020735980637048832,2018-07-21 18:23:16,@ehjovan  https://t.co/oG5nY4dpt3
1020733948211560448,2018-07-21 18:15:12,@ilovesmokingmid Done
1020733871019606016,2018-07-21 18:14:53,gm twitter sign up wit my dosh link n we each get 8 bucks . yes we may be stuck doing her boyfriends math hw but at… https://t.co/fC4MzJRqES
1020731389203791872,2018-07-21 18:05:02,@ehjovan if god was still here he wouldnt have left us here to post our dosh links to survive.... sign up with my c… https://t.co/DW1vhFymaw
1020573035156320257,2018-07-21 07:35:47,@AUSSVILL its mt balls
1020528634711248897,2018-07-21 04:39:21,@sadbeanstalk @AUSSVILL https://t.co/Rm12rSvaVJ 😏
1020520381289918464,2018-07-21 04:06:33,@AUSSVILL gamers rise up please
1020519629398061057,2018-07-21 04:03:34,@AUSSVILL it aint even my usual stream time ima be on tonite tho
1020519401601228800,2018-07-21 04:02:40,@KingAkhiro paypal me 20 bucks and i will care
1020519309796229120,2018-07-21 04:02:18,@countryb1lly pull up
1020518081670479872,2018-07-21 03:57:25,sooo bored who wanna smoke crack
1020439639025319936,2018-07-20 22:45:43,@demonicwimp made it out can i have some top
1020414169277796352,2018-07-20 21:04:30,RT @ilooklikelilbil: pweaseee buy my shoe &gt;.&lt; size 11 725 shipped /.\ hit my dm https://t.co/m2OnCoSDwe
1020396161465823233,2018-07-20 19:52:57,@jvnnice smh i still KNOW how to do it 😤
1020394937613864960,2018-07-20 19:48:05,@jvnnice i was in pain everyday
1020394175529869312,2018-07-20 19:45:04,@jvnnice i dont even know why or how i remember this
1020390686158249984,2018-07-20 19:31:12,@skeletonwife dm
1020370727478804480,2018-07-20 18:11:53,@iwannnnaa @duffy_nora dm me
1020366648136511488,2018-07-20 17:55:41,@iwannnnaa @duffy_nora quiere ser mi novia?
1020355476460978176,2018-07-20 17:11:17,@fatherxdrew aint he like 7 feet tall
1020345269307576320,2018-07-20 16:30:43,https://t.co/L9c3bPzGoD
1020342954815250432,2018-07-20 16:21:32,@skeletonwife can i have some bday top
1020324536472854533,2018-07-20 15:08:20,RT @thatgrapejuice: Wiz Khalifa: “Straight Men Shouldn’t Eat Bananas” https://t.co/Svf9o7I5hR https://t.co/zZ8bWbjhtv
1020317253030457344,2018-07-20 14:39:24,@duffy_nora @iwannnnaa facts
1020232049167220738,2018-07-20 09:00:50,chilling and listening to music
1020230438734843904,2018-07-20 08:54:26,@ilovesmokingmid hope she sees this bro
1020225859502845958,2018-07-20 08:36:14,@flanbabe this is fucked up
1020225235490988032,2018-07-20 08:33:45,@flanbabe quiere ser mi novia?
1020225149532979200,2018-07-20 08:33:25,las cosas pequenas - prince royce https://t.co/RIbTyhvx46
1020224798742364161,2018-07-20 08:32:01,@MateoRives smh tuvo cuatro anos de espanol en escuela
1020224599802310656,2018-07-20 08:31:14,@craigslistmiami .
1020224560770105346,2018-07-20 08:31:04,@flanbabe lo siento
1020223568154464257,2018-07-20 08:27:08,tweetin solamente en espanol por ahora y la futura
1020223284300808192,2018-07-20 08:26:00,@skeetwoodmac biker dick right here
1020223236745805824,2018-07-20 08:25:49,hola yo necesito top
1020223064196329473,2018-07-20 08:25:07,@mattmiggz @jj_noun9  https://t.co/Jz7EHeuOhJ
1020221618176471048,2018-07-20 08:19:23,peein in da dark trying to put more excitement into my life
1020219886960689157,2018-07-20 08:12:30,@cremijeur i got your name saved as “a girlfriend” in my phone i was looking for you...
1020216798589808640,2018-07-20 08:00:14,@dieyoucuck LOVEEEEE YOUUUUU
1020196396262088705,2018-07-20 06:39:09,@holyguacanoley mans aint even connecting no more i even tried all those tips to reconnect it its jus time to let t… https://t.co/RwBgeUWCF5
1020195670022504449,2018-07-20 06:36:16,@madiemeador can i get some top
1020194334031790080,2018-07-20 06:30:58,@FrootDeMarcoo 5’2
1020189417607081984,2018-07-20 06:11:26,@uzisaura No
1020186528977260544,2018-07-20 05:59:57,i need a girlfriend
1020177669080547329,2018-07-20 05:24:44,@meltycanon california ✈️ twitch partnership
1020177148122763264,2018-07-20 05:22:40,@AlexWilliams__ @ilovesmokingmid bless up
1020175912996704256,2018-07-20 05:17:46,@skeetwoodmac can i have some top
1020175668926009344,2018-07-20 05:16:48,@skeetwoodmac Hey
1020175160102436865,2018-07-20 05:14:46,@HorsePajamas @jj_noun9 deadass
1020175049452474368,2018-07-20 05:14:20,RT @jj_noun9: these girls fr missin out @ilooklikelilbil https://t.co/vbwqFpV3C8
1020174324542582784,2018-07-20 05:11:27,DAY EDIT WIT THE BRO @jj_noun9 can some girls please come to the skatepark https://t.co/8IGvs1yuAB
1020162349255159808,2018-07-20 04:23:52,@FuckYou64414787 anything helps king
1020161579113840640,2018-07-20 04:20:48,@FuckYou64414787 thanx u
1020126927695167488,2018-07-20 02:03:07,no girls came
