id,created_at,text
1020723863351713798,2018-07-21 17:35:07,the way it should be &lt;3 https://t.co/KwrKsV2fle
1020434750710919169,2018-07-20 22:26:17,ima be real I don’t remember which one I smoked
1020431758150467584,2018-07-20 22:14:24,crackhead poll incoming which weed should i smoke
1020424689351458816,2018-07-20 21:46:19,me..... https://t.co/laIHbJ1SB0
1020328245764423681,2018-07-20 15:23:05,I know this bitch got tea https://t.co/bbBr310vBU
1020161038912802816,2018-07-20 04:18:40,I lose 12 years off my life every time I’m high in front of my grandma
1020158567779913730,2018-07-20 04:08:50,I want.........like cereal
1020141789511069698,2018-07-20 03:02:10,my high friend: feels like I got a pair of jeans on inside my eyes
1020140870518140928,2018-07-20 02:58:31,HM https://t.co/zaK5EOTuRt
1020125490252787714,2018-07-20 01:57:24,https://t.co/QbLzagtF9Z
1020117634602303488,2018-07-20 01:26:11,"me: would you like to make a donation to our charity today
customer: no
me: okay poor"
1020034743608360960,2018-07-19 19:56:48,hm.....my uber drivers profile says he’s hard of hearing or deaf but he won’t shut up so what is the truth
1019994310526332928,2018-07-19 17:16:08,why they wanna know? https://t.co/cjenniw4Z1
1019619218180849664,2018-07-18 16:25:39,I’m late for work and I just realized my boss is working today https://t.co/dOePWysdDz
1019597493338820610,2018-07-18 14:59:20,@noahjmiranda literally yes
1019271260734291968,2018-07-17 17:23:00,I just asked this lady if she wanted her receipt and she said no and I meant to say okay have a good day and I only… https://t.co/KNVd70craI
1019255818489753600,2018-07-17 16:21:38,I forgot my redbull at home...HM
1019117700243738624,2018-07-17 07:12:48,the sequel https://t.co/pfexg9bCo3
1019101708822065153,2018-07-17 06:09:16,my friend drunk 10 minutes into our uber ride: *pointing at the uber driver* did I say hello?
1019035947243933696,2018-07-17 01:47:57,my friend is so high right now that she forgot that we’re in an uber and started singing along to the radio really… https://t.co/ZaXk1Egt0x
1018952394082639872,2018-07-16 20:15:56,HM https://t.co/RNXX50vfDv
1018946243664359425,2018-07-16 19:51:30,this tweet has come back to haunt me https://t.co/bpKGQWrTPv
1018698059574923265,2018-07-16 03:25:18,i’m like......white trash
1018688586957369344,2018-07-16 02:47:40,https://t.co/oYFWiMoFvq
1018608399729037312,2018-07-15 21:29:01,"my friend approaching the starbucks drive thru speaker: oh my god is it gonna be a man
a mans voice through the spe… https://t.co/AT0ICAmmw6"
1018584304258113536,2018-07-15 19:53:17,this video I just took of my dog is so funny I’m cackling https://t.co/vHkEe2TH6f
1018363728516050944,2018-07-15 05:16:47,https://t.co/ciYsN1jtHN
1017817150512418816,2018-07-13 17:04:53,got called into work early again https://t.co/CvHYgucUQr
1017642974103171076,2018-07-13 05:32:46,I volunteered to answer the door when the uber eats guy comes I don’t know one person braver than me
1017613826936565760,2018-07-13 03:36:57,my uber driver is so hot suicide postponed 14 minutes until I get to my destination
1017593665743511552,2018-07-13 02:16:50,@gnmoon99 kjdhgjxjsjbvgh
1017581425783013376,2018-07-13 01:28:12,i’m high in an alleyway and my friend is fighting with her boyfriend over the phone....the stimulation
1017107159996387336,2018-07-11 18:03:38,my eyelash extensions all fell out and now i’m ugly again
1016947949526507520,2018-07-11 07:30:59,"me: at least it can’t get any worse
my depression: https://t.co/J9tJBj3DpV"
1016923933063380992,2018-07-11 05:55:33,I hate men https://t.co/XM6OihZABw
1016903836747862016,2018-07-11 04:35:42,can i get uhhhhh...attention
1016896651724771328,2018-07-11 04:07:09,that......took me literally 25 minutes to make
1016896526147309568,2018-07-11 04:06:39,https://t.co/uZWivph5mp
1016866965674123264,2018-07-11 02:09:11,my friend is driving in a parking lot and a woman wearing a hijab walked in front of her car and she was like oh my… https://t.co/yHb1LDwXbK
1016774914131427328,2018-07-10 20:03:24,my uber driver is listening to talk radio and he’s talking back to it i’m so uncomfortable hffhhvhj
1016544190065360897,2018-07-10 04:46:36,"my friend drunk and high in the backseat of our uber: ugh...i have to be up for work in 5 hours
me: i have to unloc… https://t.co/kJk1odWhmF"
1016538999752658944,2018-07-10 04:25:58,@fiercalicious how’d u know bitch
1016497157048684544,2018-07-10 01:39:42,i love nicole richie so much she is my favourite person in the world i’m not being dramatic
1016495028636606464,2018-07-10 01:31:15,@fiercalicious i hate you so much skskkskss
1016406551081320448,2018-07-09 19:39:40,me when I got to work and saw my favourite coworkers name crossed off the sign in sheet because she called in sick… https://t.co/8tbiCw75ZT
1016378320647348224,2018-07-09 17:47:29,drinking an iced coffee before my 8 hour shift im gonna have to shit at work im so brave
1016366410967273472,2018-07-09 17:00:10,https://t.co/OwyzlaaSon
1016217276696219648,2018-07-09 07:07:33,@offthewaII TEA
1016208302265511937,2018-07-09 06:31:54,the mona lisa who https://t.co/kkP5py56np
1015844769904451585,2018-07-08 06:27:21,do you guys still think im funny
1015810538264096769,2018-07-08 04:11:19,why do i love the middle by zedd so much
1015810095098150913,2018-07-08 04:09:34,my uber driver just heavy sighed is he mad at me? :(
1015687541020717056,2018-07-07 20:02:34,my uber driver literally won’t shut up oh my goddddd. but i kind of have a crush on him because he’s being nice to me
1015687443171774465,2018-07-07 20:02:11,I just took titty pics with portrait mode i feel so powerful right now....
